[03-Apr-2025 22:31:05 UTC] PHP Warning:  Undefined array key "host" in /workspaces/Minora/.wordpress/wp-includes/pluggable.php on line 1625
[03-Apr-2025 23:44:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
